Find Me Time Average,Find Me Error Count,Matching Card Time,Matching Card Error Count,Word Scramble Time (-1 is a skip),Jigsaw Time,Current Time
2.469629,0,21.73889,5,58.78908,47.80975,2024-09-20 2:33:06 PM
3.633826,0,40.48217,10,58.58601,36.83068,2024-09-21 11:05:43 AM
